Timestamp,Transacao ID,Data,Valor,Bandeira,Banco Emissor,Mensagem Processamento,Status Transacao
2024-01-15 12:15:54,a9ed-be8c63dba0ec,1705320954768,300,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:15:53,a007-ba7b5d929a24,1705320953735,6290,visa,Banco Santander S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:15:52,892f-3eb80eb88649,1705320952511,6390,visa,Banco Bradesco S.A.,SUCESSO,PAID
2024-01-15 12:15:51,8852-76d76d57b1b7,1705320951843,5500,mastercard,BANCO SANTANDER (BRASIL) S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:15:51,80b2-e15aaa8d0c3c,1705320951820,6600,mastercard,BANCO CSF S/A,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED
2024-01-15 12:15:51,a9b7-7a6dc38c93bb,1705320951754,100,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:15:51,aba4-841c1eb336c3,1705320951448,5000,visa,Pagseguro Internet S.A,SUCESSO,PAID
2024-01-15 12:15:51,a1af-53f1b461aa9c,1705320951165,113554,visa,Banco Cooperativo Sicredi S.A.,SUCESSO,PAID
2024-01-15 12:15:49,b903-4f4cab23b24c,1705320949561,99700,mastercard,ITAU UNIBANCO S.A.,TRANSACAO NAO PERMITIDA - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:15:48,a60d-ff47f81c3a48,1705320948867,1500,visa,Caixa Economica Federal,SUCESSO,PAID
2024-01-15 12:15:48,b7ff-e2e20aeb8bc5,1705320948701,6600,mastercard,CRED-SYSTEM ADMINISTRADORA DE,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:15:48,be78-554c3e8a6601,1705320948342,495,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:15:48,ae96-3f76acb30092,1705320948057,14852,mastercard,BANCO CSF S/A,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:15:47,ab02-34730faf0643,1705320947865,7100,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:15:47,9b70-a45b2deadfe4,1705320947753,2000,visa,Banco Santander S.A.,SUCESSO,PAID
2024-01-15 12:15:47,8ec8-a4da599d7b25,1705320947207,30580,mastercard,ITAU UNIBANCO S.A.,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED
2024-01-15 12:15:45,8454-16ad948b89a0,1705320945316,495,visa,Empresa Brasileira de Beneficios e Pagamentos Ltda.,SUCESSO,PAID
2024-01-15 12:15:45,9bad-f07c7cb723f4,1705320945114,495,mastercard,BANCO COOPERATIVO SICOOB S.A.,SUCESSO,PAID
2024-01-15 12:15:45,98b9-d0b4bb4d6018,1705320945058,8990,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:15:45,9af0-5dc1ceff618c,1705320945050,1200,mastercard,BANCO BRADESCO S.A.,SUCESSO,PAID
2024-01-15 12:15:44,9094-bc40e8a2ab89,1705320944690,20000,mastercard,BANCO INTER S.A.,SUCESSO,PAID
2024-01-15 12:15:43,b007-d36518cba220,1705320943843,230377,visa,Banco Santander S.A.,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:15:43,a199-17bcf9c600cf,1705320943669,11000,visa,Banco do Brasil S.A.,NAO AUTORIZADA,DECLINED
2024-01-15 12:15:43,b9fc-205491e2644a,1705320943285,495,elo,Banco Bradesco SA,SUCESSO,PAID
2024-01-15 12:15:43,8a22-05c8c2f77d43,1705320943151,37250,visa,Itau Unibanco Holding S.A.,ERRO NO CARTAO - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:15:42,a600-47745a18df98,1705320942531,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:15:42,bb46-194bc959d132,1705320942142,34490,mastercard,NU PAGAMENTOS SA,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:15:41,b7da-d7a79f310829,1705320941876,990,mastercard,BANCO BRADESCARD S.A.,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:15:41,a041-bbf3b62ffa7a,1705320941833,300,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:15:40,bc9d-b682eefb5844,1705320940970,20889,mastercard,BANCO SANTANDER (BRASIL) S.A.,NAO AUTORIZADA,DECLINED
2024-01-15 12:15:40,9b61-bc61269aed14,1705320940956,13940,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:15:40,82cc-16b67d8684af,1705320940615,180000,mastercard,ITAU UNIBANCO S.A.,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED
2024-01-15 12:15:40,a51a-6d4adc3056c9,1705320940033,38328,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:15:39,9875-4f8d15b46a71,1705320939259,24227,mastercard,FORTBRASIL INSTITUIC?O DE PAGA,SUCESSO,PAID
2024-01-15 12:15:38,a137-f77d3ea7bf13,1705320938592,100000,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:15:38,a321-8d538fabc6f7,1705320938206,17790,mastercard,BANCO SANTANDER (BRASIL) S.A.,SUCESSO,PAID
2024-01-15 12:15:37,ae82-08bd859eabf7,1705320937847,1990,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:15:37,9ba2-1ea455c9e6c7,1705320937610,495,visa,Banco Bradesco S.A.,SUCESSO,PAID
2024-01-15 12:15:37,a6d4-b20c81a63e80,1705320937118,1990,mastercard,BANCO C6 SA,NAO AUTORIZADA - TENTE NOVAMENTE MAIS TARDE,DECLINED
2024-01-15 12:15:37,9a3f-6216c421cc34,1705320937074,13240,mastercard,NU PAGAMENTOS SA,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:15:36,8f43-71f9233163ee,1705320936651,23000,visa,Banco Digio S.A.,SUCESSO,PAID
2024-01-15 12:15:36,97b4-e4490c33f435,1705320936424,12450,visa,Mercado Pago Instituicao de Pagamento Ltda.,SUCESSO,PAID
2024-01-15 12:15:36,b6fd-78b0612d290e,1705320936183,100,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:15:35,a717-bd8ab6ea997e,1705320935977,698,mastercard,BANCO C6 SA,SUCESSO,PAID
2024-01-15 12:15:35,a9d4-4859d013eccb,1705320935833,3840,mastercard,NU PAGAMENTOS SA,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:15:35,9cb5-948fee99dd23,1705320935389,100000,elo,Facta Financeira SA Credito Finan e Inve,SUCESSO,PAID
